DATE,POPULATION
1974-01-01,212932000
1974-02-01,213074000
1974-03-01,213211000
1974-04-01,213361000
1974-05-01,213513000
1974-06-01,213686000
1974-07-01,213854000
1974-08-01,214042000
1974-09-01,214246000
1974-10-01,214451000
1974-11-01,214625000
1974-12-01,214782000
1975-01-01,214931000
1975-02-01,215065000
1975-03-01,215198000
1975-04-01,215353000
1975-05-01,215523000
1975-06-01,215768000
1975-07-01,215973000
1975-08-01,216195000
1975-09-01,216393000
1975-10-01,216587000
1975-11-01,216771000
1975-12-01,216931000
1976-01-01,217095000
1976-02-01,217249000
1976-03-01,217381000
1976-04-01,217528000
1976-05-01,217685000
1976-06-01,217861000
1976-07-01,218035000
1976-08-01,218233000
1976-09-01,218440000
1976-10-01,218644000
1976-11-01,218834000
1976-12-01,219006000
1977-01-01,219179000
1977-02-01,219344000
1977-03-01,219504000
1977-04-01,219684000
1977-05-01,219859000
1977-06-01,220046000
1977-07-01,220239000
1977-08-01,220458000
1977-09-01,220688000
1977-10-01,220904000
1977-11-01,221109000
1977-12-01,221303000
1978-01-01,221477000
1978-02-01,221629000
1978-03-01,221792000
1978-04-01,221991000
1978-05-01,222176000
1978-06-01,222379000
1978-07-01,222585000
1978-08-01,222805000
1978-09-01,223053000
1978-10-01,223271000
1978-11-01,223477000
1978-12-01,223670000
1979-01-01,223865000
1979-02-01,224053000
1979-03-01,224235000
1979-04-01,224438000
1979-05-01,224632000
1979-06-01,224843000
1979-07-01,225055000
1979-08-01,225295000
1979-09-01,225547000
1979-10-01,225801000
1979-11-01,226027000
1979-12-01,226243000
1980-01-01,226451000
1980-02-01,226656000
1980-03-01,226849000
1980-04-01,227061000
1980-05-01,227251000
1980-06-01,227522000
1980-07-01,227726000
1980-08-01,227953000
1980-09-01,228186000
1980-10-01,228417000
1980-11-01,228612000
1980-12-01,228779000
1981-01-01,228937000
1981-02-01,229071000
1981-03-01,229224000
1981-04-01,229403000
1981-05-01,229575000
1981-06-01,229761000
1981-07-01,229966000
1981-08-01,230187000
1981-09-01,230412000
1981-10-01,230641000
1981-11-01,230822000
1981-12-01,230989000
1982-01-01,231157000
1982-02-01,231313000
1982-03-01,231470000
1982-04-01,231645000
1982-05-01,231809000
1982-06-01,231992000
1982-07-01,232188000
1982-08-01,232392000
1982-09-01,232599000
1982-10-01,232816000
1982-11-01,232993000
1982-12-01,233160000
1983-01-01,233322000
1983-02-01,233473000
1983-03-01,233613000
1983-04-01,233781000
1983-05-01,233922000
